company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),resolution,screentype,touchscreen,cpu(GHz),memory_1_storage_gb,memory_1_type,memory_2_storage_gb,memory_2_type,log_price
Lenovo,IdeaPad 110-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,No OS,2.2,1920x1080,,False,2,1000.0,HDD,0.0,,6.171700597410915
Dell,Latitude E5570,Notebook,15.6,Intel Core i5 6200U ,4,Intel HD Graphics 520,Linux,2.09,1366x768,,False,2.3,500.0,HDD,0.0,,6.260785328039943
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.96,1920x1080,,False,2.5,256.0,SSD,0.0,,6.395244903485277
MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1920x1080,,False,2.8,256.0,SSD,1000.0,HDD,7.089243155027514
MSI,GL62 6QF,Gaming,15.6,Intel Core i7 6700HQ ,8,Nvidia GeForce GTX 960M,Windows 10,2.3,1920x1080,,False,2.6,128.0,SSD,1000.0,HDD,7.063903961472068
Acer,Aspire 5,Notebook,15.6,Intel Core i3 6006U ,4,Nvidia GeForce GTX 940MX,Windows 10,2.2,1366x768,,False,2,500.0,HDD,0.0,,6.150602768446279
MSI,GS63VR 7RG,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,1.8,1920x1080,,False,2.8,256.0,SSD,2000.0,HDD,7.714900563595494
HP,EliteBook 840,Notebook,14.0,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,1.54,1920x1080,,False,2.3,500.0,HDD,0.0,,6.907755278982137
Acer,Aspire F5-573G,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce GTX 950M,Windows 10,2.4,1920x1080,,False,2.5,256.0,SSD,1000.0,HDD,6.683360945766275
HP,15-bs078cl (i7-7500U/8GB/2TB/W10),Notebook,15.6,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,2.04,1366x768,,False,2.7,2000.0,HDD,0.0,,6.444131256700441
